% Model:              sjo1e12-ph2c-si-200617-pdms-chip-vol-8ul-001.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 20 2022, 15:15
% Dimension:          2
% Nodes:              28902
% Expressions:        3
% Description:        Mesh element number, Velocity field, x component, Velocity field, y component
% Length unit:        mm
% x                       y                        meshelement @ q=4        u (m/s) @ q=4            v (m/s) @ q=4
287.30295480469766        628.3570464046327        243                      NaN                      NaN
287.25209581363765        628.2821346020561        203                      NaN                      NaN
287.1028703719617         627.5996442952745        78                       -3.4254635558594916E-20  2.363041492204915E-16
287.1028703719617         627.5734388445409        89                       1.8549062873716457E-19   9.799532095145489E-16
287.1077170508744         627.7044660982091        80                       3.1726734513392616E-8    -1.5324148849452346E-4
287.1077172110161         627.6782606474754        81                       4.5712192007875085E-8    -1.529457838426593E-4
287.10775774130826        627.6520551967418        81                       -6.476637948788597E-9    -1.538686238833637E-4
287.10780159775993        627.6258497460082        90                       -1.121507639073409E-7    -1.558933276315723E-4
287.12620688323767        627.8267838092041        207                      -7.307156518457157E-7    -5.940190325349054E-4
287.11383765558986        627.78308245041          249                      -1.738384566422762E-8    -3.24982031408292E-4
287.1264859144584         627.7982920059331        249                      1.1850999503545021E-7    -5.988554616778512E-4
287.11378665140364        627.7568769996764        248                      -1.4444707680331118E-7   -3.2414122517393534E-4
287.1136458984864         627.7306715489427        254                      7.96753658897037E-8      -3.2011966589522714E-4
287.14390218599766        627.8419857976629        247                      3.9472577960262723E-7    -8.040192490558971E-4
287.1798119608335         627.9766548304184        258                      -3.8156136039067716E-7   -5.892103434685655E-4
287.1808761493154         627.9524337013381        260                      -1.1112478648023374E-6   -5.69769792050442E-4
287.17901652767597        627.9283623504359        262                      1.0080869315189107E-6    -6.023338996624565E-4
287.1591961164034         627.8876508300112        218                      1.0466039401879412E-7    -8.221372374978267E-4
287.16147697726007        627.8585118077858        219                      -1.8456920952999352E-8   -8.050189665852232E-4
287.1792726058491         627.9013149738106        268                      1.9637188804317202E-6    -5.980535483795218E-4
287.1979315781889         628.1237533099475        84                       -1.56914984346182E-8     -1.564131386657955E-4
287.2028703719617         628.1761642114146        229                      NaN                      NaN
287.2028703719617         628.149958760681         272                      NaN                      NaN
287.19792392886023        628.0975478592137        84                       -4.481142709809838E-8    -1.5616678808773869E-4
